,area,bathroom_num,bedroom_num,city,desc,dev_name,floor_count,floor_num,furnishing,id,id_string,latitude,locality,longitude,post_date,poster_name,price,project,title,trans,type,url,user_type
15279,1000.0,2.0,2,Mumbai,"2 Bath,Semi-Furnished,6 floor,East facing A spacious 2 Bedroom flat is available for Rent in  Film City Road, Mumbai. It is located on the 6 Floor. It has a covered area of 1015 Sq-ft. The flat has Ceramic Tiles, Granite, Marble, Marbonite, Normal Tiles/Kotah Stone, Vitrified, Wooden flooring. The flat has 24 Hours Available water supply and No/Rare Powercut. It also has 1 covered parking. The property is fantastically located and is much sought-after. The property is available at a very competitive monthly rent..",Aakar Developers,8.0,6.0,Semi-Furnished,20695140,domcache_srp_20695140,19.17596448,Film City Road,72.87337331,2020-01-11,Mukesh Jha,36000,Aakar Apartment," 2 BHK Apartment for Rent in Aakar Apartment, Film City Road 1000 sqft",Rent,Apartment,/propertyDetails/2-BHK-1000-Sq-ft-Multistorey-Apartment-FOR-Rent-Film-City-Road-in-Mumbai-r4&id=4d423230363935313430,Agent
15283,1000.0,2.0,2,Mumbai,"2 Bath,Semi-Furnished,2 floor,North - East facing This Apartment is for rent at Trans Residency in Chakala MIDC This Apartment is 2 AC, 2 Bed, 2 Wardrobe, Sofa, Gas Connection and includes 2 airy balconies. This well designed 2 Bedroom Apartment is at third floor and it has 2 bathroom You can rent this good Apartment on a monthly rent of 37000.",Atul Projects,7.0,2.0,Semi-Furnished,40940791,domcache_srp_40940791,19.1251044923422,Chakala MIDC,72.8682120346131,2020-01-07,Vikas Srivastav,37000,Trans Residency," 2 BHK Apartment for Rent in Trans Residency, Chakala MIDC 1000 sqft",Rent,Apartment,/propertyDetails/2-BHK-1000-Sq-ft-Multistorey-Apartment-FOR-Rent-Chakala-MIDC-in-Mumbai-r3&id=4d423430393430373931,Agent
15321,1000.0,2.0,2,Mumbai,"2 Bath,Unfurnished,10 floor,East facing 2  BHK Furnished ApartmentWith attached mini terrace on middle floorWardrobes and beds in both bedrooms. Sofa and dining set in living room, modular kitchen with gas pipeline and one ac.Available for corporate lease and family; No bachelors allowed.",Marathon Realty Pvt Ltd,16.0,10.0,Unfurnished,42734997,domcache_srp_42734997,19.1855878,Mulund West,72.9493718,2019-12-11,Manoj,37000,Marathon Maxima," 2 BHK Apartment for Rent in Marathon Maxima, Mulund West 1000 sqft",Rent,Apartment,/propertyDetails/2-BHK-1000-Sq-ft-Multistorey-Apartment-FOR-Rent-Mulund-West-in-Mumbai&id=4d423432373334393937,Agent
15331,1000.0,2.0,2,Mumbai,"2 Bath,Unfurnished,2 floor,East facing Available 2BHK unfurnished flat on immediate rent with kitchen cabinet utilities + gas connection in multistory building, located in Marol-Maroshi rd, Marol an exclusive residential area. Close to public transport, market, malls and restaurants. It is having huge compound garden, and one still parking, excellent view. The complex has natural surroundings with zero noise pollution, a clean and a green environment. Available for Family as well as for bachelors in a well Maintained Building. Please contact for more details.",Lok Housing and Constructions Ltd.,7.0,2.0,Unfurnished,23301309,domcache_srp_23301309,19.1163723076522,Andheri East,72.87749244114521,2020-01-09,Salim Shaikh,36000,Lok Raunak Phase I," 2 BHK Apartment for Rent in Lok Raunak Phase I, Andheri East 1000 sqft",Rent,Apartment,/propertyDetails/2-BHK-1000-Sq-ft-Multistorey-Apartment-FOR-Rent-Andheri-East-in-Mumbai-r1&id=4d423233333031333039,Agent
15333,1000.0,2.0,2,Mumbai,"2 Bath,Unfurnished,4 floor,East facing Prime LocationHigher floorSpacious flatKeys AvailableGreat viewGated communitySchools & colleges at walking distanceMalls Hospitals hotels restaurants nearby",HDIL,9.0,4.0,Unfurnished,47204031,domcache_srp_47204031,19.1801882,Malad West,72.83753709999998,2020-01-08,Dhruvin  Shah,36000,Dheeraj Diamond," 2 BHK Apartment for Rent in Dheeraj Diamond, Malad West 1000 sqft",Rent,Apartment,/propertyDetails/2-BHK-1000-Sq-ft-Multistorey-Apartment-FOR-Rent-Malad-West-in-Mumbai&id=4d423437323034303331,Agent
15346,1000.0,2.0,2,Mumbai,"2 Bath,Semi-Furnished,5 floor,West facing This is a well maintained 2BHK flat with covered car parking.",JP Developers,8.0,5.0,Semi-Furnished,45760891,domcache_srp_45760891,19.2026209,Akurli Nagar,72.85821,2019-11-13,Paras Savla,37000,National Avenue," 2 BHK Apartment for Rent in National Avenue, Akurli Nagar 1000 sqft",Rent,Apartment,/propertyDetails/2-BHK-1000-Sq-ft-Multistorey-Apartment-FOR-Rent-Akurli-Nagar-in-Mumbai&id=4d423435373630383931,Agent
15352,1000.0,2.0,2,Mumbai,"2 Bath,Unfurnished,5 floor,East facing An excellent 2 bhk residential apartment for rent in malad (West), mumbai . It is a very good property. It is available for family. We are looking for rs. 35000, however, the price is negotiable. It is on the 2nd floor and has vitrified flooring. It is an east facing property and has intercom facility, lift(S), piped-Gas, maintenance staff, internet/wi-Fi connectivity, water storage and security/fire alarm etc. The society too has features like club house/community center, fitness centre/gym, security personnel, water softening plant and park which adds to the attractiveness o",Cooperative Group Housing Society,7.0,5.0,Unfurnished,44034105,domcache_srp_44034105,0.0,Savarkar Chowk,0.0,2019-12-17,Sanjay  Sharma,35000,Mandlik Nagar CHS Ltd," 2 BHK Apartment for Rent in Mandlik Nagar CHS Ltd, Savarkar Chowk 1000 sqft",Rent,Apartment,/propertyDetails/2-BHK-1000-Sq-ft-Multistorey-Apartment-FOR-Rent-Savarkar-Chowk-in-Mumbai-r1&id=4d423434303334313035,Agent
15403,1000.0,2.0,2,Mumbai,"2 Bath,Unfurnished,5 floor,East facing Offering a spacious bedroom flat available for rent in borivali east , near by datt pada road .the living room of this flat is spacious than any other flat. its near to western express highway. u can easily get the auto and buses for the station",Park View Developers,28.0,5.0,Unfurnished,45251839,domcache_srp_45251839,19.2245666666667,Magathane,72.8644433333333,2019-12-25,Chunilal Mali,37000,Ambrosia," 2 BHK Apartment for Rent in Ambrosia, Magathane 1000 sqft",Rent,Apartment,/propertyDetails/2-BHK-1000-Sq-ft-Multistorey-Apartment-FOR-Rent-Magathane-in-Mumbai-r1&id=4d423435323531383339,Agent
15434,1000.0,2.0,2,Mumbai,"2 Bath,Semi-Furnished,5 floor,East facing Semifurnished 2 bhk apartment for rent in a Well Maintained, located on the 6th floor of 7 Storey. The apartment has 2 bedrooms 2 bathrooms and a Covered Parking. It has vitrified flooring wardrobe dinning table modular kitchen Piped Gas vastu complaint east west flat. It is immediately available for all for rs. 39000 monthly. It is a 510 year old property and has a super builtUp area of 950 sq. Ft. It has lifts, park, maintenance staff, Childrens Playing Area intercom facility and securityfire alarm.24 Hrs BMC Water CCTV Security Family n Bachelors Both wellcome.",Jain Group,7.0,5.0,Semi-Furnished,43787095,domcache_srp_43787095,19.178022699792105,Malad West,72.8413549056171,2019-12-05,Hemant Dewang,38000,Usha Garden," 2 BHK Apartment for Rent in Usha Garden, Malad West 1000 sqft",Rent,Apartment,/propertyDetails/2-BHK-1000-Sq-ft-Multistorey-Apartment-FOR-Rent-Malad-West-in-Mumbai-r2&id=4d423433373837303935,Agent
15529,1000.0,2.0,2,Mumbai,"2 Bath,Unfurnished,10 floor,East facing A spacious 2 Bedroom flat is available for Rent in  Bhandup Industrial Estate, Mumbai. It is located on the 10 Floor. It has a covered area of 1000 Sq-ft. The flat has Ceramic Tiles, Mosaic flooring. The flat has 24 Hours Available water supply and No/Rare Powercut. The property is fantastically located and is much sought-after. The property is available at a very competitive monthly rent..",Mayuresh Group,20.0,10.0,Unfurnished,23925679,domcache_srp_23925679,19.1596950179688,Bhandup Industrial Estate,72.9358988107455,2020-01-11,Hema harshwal,38000,MAYURESH RESIDENCY," 2 BHK Apartment for Rent in MAYURESH RESIDENCY, Bhandup Industrial Estate 1000 sqft",Rent,Apartment,/propertyDetails/2-BHK-1000-Sq-ft-Multistorey-Apartment-FOR-Rent-Bhandup-Industrial-Estate-in-Mumbai-r1&id=4d423233393235363739,Agent
15565,1000.0,2.0,2,Mumbai,"2 Bath,Semi-Furnished,19 floor,East facing 2 BHK, Multistorey Apartment is available for Rent in Mulund West, Mumbai for 38,000",The Wadhwa Group,43.0,19.0,Semi-Furnished,46207091,domcache_srp_46207091,19.1595755,Mulund West,72.9465747,2020-01-11,Jinoy  Mathew,38000,Wadhwa Atmosphere," 2 BHK Apartment for Rent in Wadhwa Atmosphere, Mulund West 1000 sqft",Rent,Apartment,/propertyDetails/2-BHK-1000-Sq-ft-Multistorey-Apartment-FOR-Rent-Mulund-West-in-Mumbai&id=4d423436323037303931,Agent
15566,1000.0,2.0,2,Mumbai,"2 Bath,Semi-Furnished,7 floor,East facing Available 2 bhk flat lin Decent Bldg, Vikhroli west . This flat is with good ventilation and good view. Semi furnished flat with Cabinet kitchen, Piped gas, Wardrobe. All major connectivity such as markets, school, station, hospital, highway are conveniently nearby.It is an east facing property has lift , maintenance staff, intercom facility and security fire alarm etc. Reserved parking available . . we have many more proposals. best service is Provided",Lok Housing and Constructions Ltd.,12.0,7.0,Semi-Furnished,45578333,domcache_srp_45578333,19.1231824,Vikhroli West,72.923377,2020-01-11,Dwarkadas  Jogeshwar,35000,Lok Gaurav," 2 BHK Apartment for Rent in Lok Gaurav, Vikhroli West 1000 sqft",Rent,Apartment,/propertyDetails/2-BHK-1000-Sq-ft-Multistorey-Apartment-FOR-Rent-Vikhroli-West-in-Mumbai&id=4d423435353738333333,Agent
15607,1000.0,2.0,2,Mumbai,"2 Bath,Furnished,9 floor,West facing An excellent 2 bhk residential apartment for rent in lokhandwala kandivali east, mumbai andheriDahisar. It is a very good property and has 2 balconys which make the apartment more spacious. It is available for family. We are looking for rs. 34000. It is on the 9th floor and has vitrified flooring. It is a west facing property and has intercom facility, lifts, maintenance staff, internetwiFi connectivity, visitor parking, water storage and securityfire alar etc. The society too has features like club housecommunity center, fitness centregym, security personnel, swimming pool and park",Spring Developers,18.0,9.0,Furnished,45117207,domcache_srp_45117207,19.0724961,Kandivali East,72.8343615,2019-11-30,Pankaj Asija,34000,Spring Leaf," 2 BHK Apartment for Rent in Spring Leaf, Kandivali East 1000 sqft",Rent,Apartment,/propertyDetails/2-BHK-1000-Sq-ft-Multistorey-Apartment-FOR-Rent-Kandivali-East-in-Mumbai-r1&id=4d423435313137323037,Agent
15611,1000.0,2.0,2,Mumbai,"2 Bath,Unfurnished,4 floor,East facing Prime LocationHigher floorSpacious flatAll amenitiesKeys AvailableGreat viewGated communitySchools & colleges at walking distanceMalls Hospitals hotels restaurants nearby",Kiran Builders,11.0,4.0,Unfurnished,46315813,domcache_srp_46315813,19.182353,Ekta Nagar,72.8375309,2019-11-26,Dhruvin  Shah,38000,Kiran Tower," 2 BHK Apartment for Rent in Kiran Tower, Ekta Nagar 1000 sqft",Rent,Apartment,/propertyDetails/2-BHK-1000-Sq-ft-Multistorey-Apartment-FOR-Rent-Ekta-Nagar-in-Mumbai&id=4d423436333135383133,Agent
15732,1000.0,2.0,2,Mumbai,"2 Bath,Unfurnished,11 floor,North facing Vaastu compliant 2 BHK property situated in a prime location of Kandivali east. This is a spacious flat in a society with all modern amenities like gym, swimming pool, club house.",Kanakia Spaces Realty Pvt. Ltd.,17.0,11.0,Unfurnished,46978419,domcache_srp_46978419,19.2187683,Magathane,72.8615252,2019-12-27,Mehul Suchak,37000,Samarpan Exotica," 2 BHK Apartment for Rent in Samarpan Exotica, Magathane 1000 sqft",Rent,Apartment,/propertyDetails/2-BHK-1000-Sq-ft-Multistorey-Apartment-FOR-Rent-Magathane-in-Mumbai&id=4d423436393738343139,Agent
15735,1000.0,2.0,2,Mumbai,"2 Bath,Unfurnished,4 floor,East facing Vaastu compliant 2 BHK property situated in a prime location of Kandivali east. This is a spacious flat in a society with all modern amenities like gym, swimming pool, club house.",Chaitanya Group,8.0,4.0,Unfurnished,46563647,domcache_srp_46563647,19.217309263073002,Siddhartha Nagar,72.8705672146112,2019-12-07,Mehul Suchak,36000,Radha Govind," 2 BHK Apartment for Rent in Radha Govind, Siddhartha Nagar 1000 sqft",Rent,Apartment,/propertyDetails/2-BHK-1000-Sq-ft-Multistorey-Apartment-FOR-Rent-Siddhartha-Nagar-in-Mumbai&id=4d423436353633363437,Agent
15743,1000.0,2.0,2,Mumbai,"2 Bath,Unfurnished,7 floor,North facing 2 bhk flat rent in kaustubh platinum rajendra nagar borivali east....all aminities are avialble in flat and all flat are very beautiful...At prime location nearby school colleges bank atm etc....",Kaustubh Construction Pvt. Ltd.,18.0,7.0,Unfurnished,46392261,domcache_srp_46392261,19.2216246,Rajendra Nagar,72.85787370000001,2019-11-29,Prashant Vithalani,33000,Kaustubh Platinum," 2 BHK Apartment for Rent in Kaustubh Platinum, Rajendra Nagar 1000 sqft",Rent,Apartment,/propertyDetails/2-BHK-1000-Sq-ft-Multistorey-Apartment-FOR-Rent-Rajendra-Nagar-in-Mumbai&id=4d423436333932323631,Agent
15767,1000.0,2.0,2,Mumbai,"2 Bath,Semi-Furnished,13 floor,East facing 2 bedroom flat available for rent in borivali east , near by western express highway,datt pada road .the living room of this flat is spacious than any other flat. . flat can easily get the auto and buses for the station . borivali east,flat is in prime location like school,main road,mandir,all type of shops,all type of rastaurent.",Kanakia Spaces Realty Pvt. Ltd.,21.0,13.0,Semi-Furnished,46055359,domcache_srp_46055359,19.22437887,Datta Pada,72.85973005,2019-11-14,Prashant Vithalani,34000,Kanakia Aroha," 2 BHK Apartment for Rent in Kanakia Aroha, Datta Pada 1000 sqft",Rent,Apartment,/propertyDetails/2-BHK-1000-Sq-ft-Multistorey-Apartment-FOR-Rent-Datta-Pada-in-Mumbai&id=4d423436303535333539,Agent
15774,1000.0,2.0,2,Mumbai,"2 Bath,Furnished,11 floor,East facing Offering spacious than any other flat. Its near to western express highway. One can easily get the auto and buses for the station Offering a spacious bedroom flat ids available for rent in kandivali east ..The living room of this flat is.                                                                                        (    Kandivali east)",Lokhandwala Group,20.0,11.0,Furnished,33093853,domcache_srp_33093853,19.1998983806115,Lokhandwala Twp,72.875790991372,2019-12-12,Ketan Jaiswal,33000,Fountain Heights," 2 BHK Apartment for Rent in Fountain Heights, Lokhandwala Twp 1000 sqft",Rent,Apartment,/propertyDetails/2-BHK-1000-Sq-ft-Multistorey-Apartment-FOR-Rent-Lokhandwala-Twp-in-Mumbai-r1&id=4d423333303933383533,Agent
15796,1000.0,2.0,2,Mumbai,"2 Bath,Semi-Furnished,12 floor,East facing Offering spacious than any other flat. Its near to western express highway. One can easily get the auto and buses for the station Offering a spacious bedroom flat ids available for rent in kandivali east ..The living room of this flat is",Bhatia Builders & Developers,27.0,12.0,Semi-Furnished,44606007,domcache_srp_44606007,19.22071025,Magathane,72.86242242,2019-11-26,Ketan Jaiswal,32000,Esspee Tower," 2 BHK Apartment for Rent in Esspee Tower, Magathane 1000 sqft",Rent,Apartment,/propertyDetails/2-BHK-1000-Sq-ft-Multistorey-Apartment-FOR-Rent-Magathane-in-Mumbai-r3&id=4d423434363036303037,Agent
15886,1000.0,2.0,2,Mumbai,"2 Bath,Furnished,13 floor,North - East facing Fully Furnished and Luxurious 2 BHK flatavailable on RENT in Raj Paradise, Off military Road, Marolwith parking and amenitiesImmediate Possessionfor details, please, contact us",Raj Group,14.0,13.0,Furnished,44388191,domcache_srp_44388191,19.1163891612432,Andheri East,72.8835752602916,2020-01-13,Zara  Nadvi,46000,Raj Paradise," 2 BHK Apartment for Rent in Raj Paradise, Andheri East 1000 sqft",Rent,Apartment,/propertyDetails/2-BHK-1000-Sq-ft-Multistorey-Apartment-FOR-Rent-Andheri-East-in-Mumbai-r1&id=4d423434333838313931,Agent
15889,1000.0,2.0,2,Mumbai,"2 Bath,Unfurnished,7 floor,East facing 2 bhk Unfurnished flat for rent at lake homes, powai. This is Unfurnished flat with modular kitchen along with pipe gas etc. With all amenities in the complex like garden, swimming pool, play area, health facilities, recreation facilities, 24 hr backup, security, intercom, club house, wi-Fi, broadband internet, tennis court, badminton court, gymnasium bank/atm, community hall",Supreme Universal,22.0,7.0,Unfurnished,44478065,domcache_srp_44478065,19.1135524,Powai,72.8995003,2020-01-13,Sagar,48000,Lake Homes," 2 BHK Apartment for Rent in Lake Homes, Powai 1000 sqft",Rent,Apartment,/propertyDetails/2-BHK-1000-Sq-ft-Multistorey-Apartment-FOR-Rent-Powai-in-Mumbai&id=4d423434343738303635,Agent
15910,1000.0,2.0,2,Mumbai,"2 Bath,Semi-Furnished,6 floor,West facing 2 BHK flat is available for Rent in Silver Crest In Raheja Vihar, Powai . Semi furnished with Cupboards, Modular kitchen , Wardrobes, Kitchen Cabinet , The flat has Granite, Vitrified, Wooden flooring and False ceiling is also done The flat has 24 Hours Available water supply and No Rare Power cut. Vastu compliant It also has 1 Open parking. The property is fantastically located and is much soughtafter.",Cooperative Group Housing Society,7.0,6.0,Semi-Furnished,47300685,domcache_srp_47300685,19.1202288,Chandivali,72.89378740000002,2020-01-13,Sachin,44000,Silver Crest CHS," 2 BHK Apartment for Rent in Silver Crest CHS, Chandivali 1000 sqft",Rent,Apartment,/propertyDetails/2-BHK-1000-Sq-ft-Multistorey-Apartment-FOR-Rent-Chandivali-in-Mumbai-r2&id=4d423437333030363835,Agent
15932,1000.0,2.0,2,Mumbai,"2 Bath,Unfurnished,4 floor,East facing 2bhk spacious flat at prime location in chembur. The society has playground, Garden and an ample of parking space. The flat is unfurnished. The location of this society is the value for money as one can reach at any corner of mumbai and navi mumbai within one hour.",Omkar Realtors,15.0,4.0,Unfurnished,46781637,domcache_srp_46781637,19.061591,Chembur,72.8930146,2020-01-11,Himanshu  Kaura,45000,Omkar Raga," 2 BHK Apartment for Rent in Omkar Raga, Chembur 1000 sqft",Rent,Apartment,/propertyDetails/2-BHK-1000-Sq-ft-Multistorey-Apartment-FOR-Rent-Chembur-in-Mumbai&id=4d423436373831363337,Agent
15938,1000.0,2.0,2,Mumbai,"2 Bath,Semi-Furnished,6 floor,West facing 2 BHK Semi Furnished in a prime location in Silver Crest Located On chandivali farm road powai this is Semi furnished flat with Wardrobe Kitchen  light fan etc. Very good society and very peaceful colony with club house facilities. This is well maintained complex it has all the amenities provided by raheja including the bombay scottish school may play grounds swimming pool gym club house pool. 10 minutes from hiranandani powai. Its very close to powai lake chandivali is a peaceful green well managed locality with modern spacious flats. For further details please contact as soon a",Cooperative Group Housing Society,7.0,6.0,Semi-Furnished,47301239,domcache_srp_47301239,19.1202288,Chandivali,72.89378740000002,2020-01-13,Ganesh,44000,Silver Crest CHS," 2 BHK Apartment for Rent in Silver Crest CHS, Chandivali 1000 sqft",Rent,Apartment,/propertyDetails/2-BHK-1000-Sq-ft-Multistorey-Apartment-FOR-Rent-Chandivali-in-Mumbai&id=4d423437333031323339,Agent
15949,1000.0,2.0,2,Mumbai,"2 Bath,Semi-Furnished,6 floor,West facing Semi Furnished 2 BHK flat for Rent at Silver Crest, Raheja Vihar, Chandivali, Powai. Semi furnished with Modular kitchen with pipe gas connection, wardrobes, ACs, gyesers in bathroom along with Parking etc. The Apartment comes with all modern amenities club with, swimming pool and other facilities Reserve Car Parking, 24 Hours Power Backup, 24 Hours Water Facilities, 24 Hours Security Facilities, Property with all essential and recreational facilities within walking distance and it is tastefully designed and holds a fantastic location in Raheja Vihar Chandivali, Powai.",Cooperative Group Housing Society,7.0,6.0,Semi-Furnished,47300875,domcache_srp_47300875,19.1202288,Chandivali,72.89378740000002,2020-01-13,Avinash  Babar,44000,Silver Crest CHS," 2 BHK Apartment for Rent in Silver Crest CHS, Chandivali 1000 sqft",Rent,Apartment,/propertyDetails/2-BHK-1000-Sq-ft-Multistorey-Apartment-FOR-Rent-Chandivali-in-Mumbai-r1&id=4d423437333030383735,Agent
16031,1000.0,2.0,2,Mumbai,"2 Bath,Furnished,6 floor,South facing prime location",Sethi Group,8.0,6.0,Furnished,46664173,domcache_srp_46664173,19.17885045,Malad West,72.84416134,2020-01-12,Kamal Bhattar,45000,Kingston Palace," 2 BHK Apartment for Rent in Kingston Palace, Malad West 1000 sqft",Rent,Apartment,/propertyDetails/2-BHK-1000-Sq-ft-Multistorey-Apartment-FOR-Rent-Malad-West-in-Mumbai&id=4d423436363634313733,Agent
16033,1000.0,2.0,2,Mumbai,"2 Bath,Unfurnished,4 floor,East facing This property is located in Goregoan west, Flat is Unfurnished vastu direction facing is good.10 Mins to Western Express Highway, 30 Min to International highway.",Chandak Group,19.0,4.0,Unfurnished,45446495,domcache_srp_45446495,19.172168,Goregaon West,72.84689399999998,2020-01-14,DARSHAN,45000,Chandak Stella," 2 BHK Apartment for Rent in Chandak Stella, Goregaon West 1000 sqft",Rent,Apartment,/propertyDetails/2-BHK-1000-Sq-ft-Multistorey-Apartment-FOR-Rent-Goregaon-West-in-Mumbai&id=4d423435343436343935,Owner
16056,1000.0,2.0,2,Mumbai,"2 Bath,Semi-Furnished,2 floor  The 2 bedroom Home is at 2nd floor and has 2 bathroom You can avail this Home on a monthly rent of 48150. ",RNA Corp,17.0,2.0,Semi-Furnished,41206567,domcache_srp_41206567,19.13962766,Andheri East,72.8681627,2019-11-17,Sankar,48150,RNA Heights," 2 BHK Apartment for Rent in RNA Heights, Andheri East 1000 sqft",Rent,Apartment,/propertyDetails/2-BHK-1000-Sq-ft-Multistorey-Apartment-FOR-Rent-Andheri-East-in-Mumbai-r1&id=4d423431323036353637,Owner
16068,1000.0,2.0,2,Mumbai,"2 Bath,Unfurnished,11 floor  The Home has 2 bedroom and it is at 11th floor and it has 2 bathroom Get this Home on a rental of 40000 monthly. ",Runwal Developers,36.0,11.0,Unfurnished,45984635,domcache_srp_45984635,19.1637685,Mulund West,72.9390525,2020-01-13,Sunil,40000,Runwal Greens," 2 BHK Apartment for Rent in Runwal Greens, Mulund West 1000 sqft",Rent,Apartment,/propertyDetails/2-BHK-1000-Sq-ft-Multistorey-Apartment-FOR-Rent-Mulund-West-in-Mumbai&id=4d423435393834363335,Agent
16090,1000.0,2.0,2,Mumbai,"2 Bath,Unfurnished,4 floor,East facing This Property is Located in the Heart of Powai Chandivali at NAHAR AMRIT SHAKTI , This flat is as per vastu  East West, beautiful view along with 1 Covered Car Park, Dmart / Supermarket/ Bank / ATM at walking distance. Its at the centre of Commercial Hub - IT Parks such as Godrej/Hiranandani/ Andheri Seepz / Sakinaka, BKC. School/ Hospital at walking distance, Garden / jogging area for senior citizen, Play area for Childrens. Vehile free podium garden, Security - guards (24*7) /CCTV camera.",Nahar Group,20.0,4.0,Unfurnished,47197837,domcache_srp_47197837,19.1077728874082,Chandivali,72.89723402507059,2020-01-08,Parin  Patel,50000,Nahar Amrit Shakti," 2 BHK Apartment for Rent in Nahar Amrit Shakti, Chandivali 1000 sqft",Rent,Apartment,/propertyDetails/2-BHK-1000-Sq-ft-Multistorey-Apartment-FOR-Rent-Chandivali-in-Mumbai&id=4d423437313937383337,Agent
16135,1000.0,2.0,2,Mumbai,"2 Bath,Furnished,9 floor This is a beautiful 2 BHK flat for rent in Malad West, Mumbai AndheriDahisar. It is a part of Dheeraj Ganga Chs and has a super builtup area of 1050 sq. ft. The builtup area is 900 sq. ft. The carpet area is 700 sq. ft.This apartment is on the 9th floor of 14 floors. It is available to families, single men and single women.This apartment has 2 bathrooms.This is an east facing flat and has vitrified tiles. It is in a gated society.The furnishings include 2 wardrobes, 2 beds, 1 modular kitchen, 1 fridges, 4 fans and 5 lights.This corner property .",Housing Development & Infrastructure,14.0,9.0,Furnished,47303551,domcache_srp_47303551,19.1791873,Malad West,72.8398496,2020-01-13,Kunal Jogeshwar,42000,Dheeraj Ganga," 2 BHK Apartment for Rent in Dheeraj Ganga, Malad West 1000 sqft",Rent,Apartment,/propertyDetails/2-BHK-1000-Sq-ft-Multistorey-Apartment-FOR-Rent-Malad-West-in-Mumbai&id=4d423437333033353531,Agent
16181,1000.0,2.0,2,Mumbai,"2 Bath,Unfurnished,4 floor,East facing Prime LocationHigher floorSpacious flatAll amenitiesKeys AvailableGreat viewGated communitySchools & colleges at walking distanceMalls Hospitals hotels restaurants nearby",Bhoomi Group,10.0,4.0,Unfurnished,47245907,domcache_srp_47245907,19.174639000000006,Sunder Nagar,72.83753100000001,2020-01-10,Dhruvin  Shah,40000,Bhoomi Classic," 2 BHK Apartment for Rent in Bhoomi Classic, Sunder Nagar 1000 sqft",Rent,Apartment,/propertyDetails/2-BHK-1000-Sq-ft-Multistorey-Apartment-FOR-Rent-Sunder-Nagar-in-Mumbai&id=4d423437323435393037,Agent
16192,1000.0,2.0,2,Mumbai,"2 Bath,Unfurnished,9 floor,North - East facing 2 bhk for rent out in good locality in Deonar  near govandi station and the flat is unused flat and has 2 bed room and 2 bath room and this flat comes with modular kitchen and car park and all near by for more info pl call us",Runwal Developers,16.0,9.0,Unfurnished,34825683,domcache_srp_34825683,19.0508715,Chembur,72.9141782,2020-01-11,Deepak  Narang Narang,45500,Runwal Serene," 2 BHK Apartment for Rent in Runwal Serene, Chembur 1000 sqft",Rent,Apartment,/propertyDetails/2-BHK-1000-Sq-ft-Multistorey-Apartment-FOR-Rent-Chembur-in-Mumbai-r7&id=4d423334383235363833,Agent
16243,1000.0,2.0,2,Mumbai,"2 Bath,Unfurnished,Upper Basement floor,East facing 2 bhk lease in brand new tower for family only near by all aminiety like market.school.collage.walking distance to d n nagar metro.star bazzar.apna bazzar Andheri west",D Group,18.0,-1.0,Unfurnished,37345357,domcache_srp_37345357,19.12949431,Sahakar Nagar,72.83232227,2020-01-10,Subhash  Talokar,48000,Badri Vishal Apartment," 2 BHK Apartment for Rent in Badri Vishal Apartment, Sahakar Nagar 1000 sqft",Rent,Apartment,/propertyDetails/2-BHK-1000-Sq-ft-Multistorey-Apartment-FOR-Rent-Sahakar-Nagar-in-Mumbai-r2&id=4d423337333435333537,Agent
16274,1000.0,2.0,2,Mumbai,"2 Bath,Unfurnished,4 floor,East facing 2bhk in blue meadows semi furnished flat j v link road andheri east good society good maintain flat 24 hrs BMC water power security guards available intercom facility parking garden play ground market Bank ATM near by school college hospital mall and airport close to seepz powai midc marol j b nagar metro station close to Western Express highway near by extern Express highway Mumbai",Atul Projects,12.0,4.0,Unfurnished,47202363,domcache_srp_47202363,19.13633063,Andheri East,72.86336163,2020-01-08,Sandeep  Gupta,50000,Blue Meadows," 2 BHK Apartment for Rent in Blue Meadows, Andheri East 1000 sqft",Rent,Apartment,/propertyDetails/2-BHK-1000-Sq-ft-Multistorey-Apartment-FOR-Rent-Andheri-East-in-Mumbai&id=4d423437323032333633,Agent
16335,1000.0,2.0,2,Mumbai,"2 Bath,Unfurnished,12 floor,East facing 2 Bhk flat available for rent,in Dlh Darpan,veera desai Road,Andheri west.The fantastic property and fantastic location.Any More detail please call...",Dev Land Housing Ltd,16.0,12.0,Unfurnished,46476027,domcache_srp_46476027,19.28903,Azad Nagar,72.8757043,2019-12-04,Ravindra Dhole,50000,DLH Darpan," 2 BHK Apartment for Rent in DLH Darpan, Azad Nagar 1000 sqft",Rent,Apartment,/propertyDetails/2-BHK-1000-Sq-ft-Multistorey-Apartment-FOR-Rent-Azad-Nagar-in-Mumbai&id=4d423436343736303237,Agent
16368,1000.0,2.0,2,Mumbai,"2 Bath,Semi-Furnished,5 floor,South -West facing 2 BHK Semi furnished flat for rent at RNA Heights JVLR Andheri East .",RNA Corp,17.0,5.0,Semi-Furnished,47180377,domcache_srp_47180377,19.13962766,JVLR-Jogeshwari Vikhroli Link Road,72.8681627,2020-01-07,Naresh Kumar  Bhatt ,48000,RNA Heights," 2 BHK Apartment for Rent in RNA Heights, JVLR-Jogeshwari Vikhroli Link Road 1000 sqft",Rent,Apartment,/propertyDetails/2-BHK-1000-Sq-ft-Multistorey-Apartment-FOR-Rent-JVLR-Jogeshwari-Vikhroli-Link-Road-in-Mumbai&id=4d423437313830333737,Agent
